"kabupaten_kota";"nilai_investasi";"periode_update"
"Kabupaten Gresik";"0.69";"Triwulan III 2018"
"Kota Surabaya";"2.42";"Triwulan III 2018"
"Kabupaten Malang";"0.11";"Triwulan III 2018"
"Kabupaten Sidoarjo";"0.54";"Triwulan III 2018"
"Kabupaten Blitar";"";"Triwulan III 2018"
"Kabupaten Lumajang";"";"Triwulan III 2018"
"Kabupaten Mojokerto";"0.32";"Triwulan III 2018"
"Kabupaten Madiun";"0";"Triwulan III 2018"
"Kabupaten Ngawi";"0.02";"Triwulan III 2018"
"Kabupaten Situbondo";"0.2";"Triwulan III 2018"
"Kabupaten Lamongan";"0.1";"Triwulan III 2018"
"Kabupaten Banyuwangi";"0.86";"Triwulan III 2018"
"Kabupaten Pasuruan";"0.29";"Triwulan III 2018"
"Kab. Kediri";"0.03";"Triwulan III 2018"
"Kab. Magetan";"";"Triwulan III 2018"
"Kota Batu";"0.21";"Triwulan III 2018"
"Kab. Nganjuk";"0.01";"Triwulan III 2018"
"Kota Kediri";"0";"Triwulan III 2018"
"Kab. Bangkalan";"0";"Triwulan III 2018"
"Kota Malang";"0.01";"Triwulan III 2018"
"Kab. Tuban";"0";"Triwulan III 2018"
"Kab. Jember";"0.77";"Triwulan III 2018"
"Kab. Bojonegoro";"";"Triwulan III 2018"
"Kab. Bondowoso ";"";"Triwulan III 2018"
"Kab. Tulungagung";"0";"Triwulan III 2018"
"Kab. Pacitan";"0";"Triwulan III 2018"
"Kota Probolinggo";"0";"Triwulan III 2018"
"Kota Pasuruan";"0";"Triwulan III 2018"
"Kab. Blitar";"0.08";"Triwulan III 2018"
"Kab. Ponorogo";"";"Triwulan III 2018"
"Kab. Trenggalek ";"0";"Triwulan III 2018"
"Kota Mojokerto";"0";"Triwulan III 2018"
"Kab. Sampang";"";"Triwulan III 2018"
"Kab. Sumenep";"0";"Triwulan III 2018"
"Kab. Jombang";"0";"Triwulan III 2018"
"Kab. Pamekasan";"";"Triwulan III 2018"
"Kab. Probolinggo";"0";"Triwulan III 2018"
"Kota Blitar";"";"Triwulan III 2018"
"Kota Madiun";"0.5106576";"Triwulan III 2018"
"Kabupaten Gresik";"1.47";"Triwulan IV 2018"
"Kota Surabaya";"1.44";"Triwulan IV 2018"
"Kabupaten Malang";"0";"Triwulan IV 2018"
"Kabupaten Sidoarjo";"2.47";"Triwulan IV 2018"
"Kabupaten Blitar";"0.05";"Triwulan IV 2018"
"Kabupaten Lumajang";"";"Triwulan IV 2018"
"Kabupaten Mojokerto";"0.1";"Triwulan IV 2018"
"Kabupaten Madiun";"0.01";"Triwulan IV 2018"
"Kabupaten Ngawi";"1.17";"Triwulan IV 2018"
"Kabupaten Situbondo";"0";"Triwulan IV 2018"
"Kabupaten Lamongan";"0.05";"Triwulan IV 2018"
"Kabupaten Banyuwangi";"0";"Triwulan IV 2018"
"Kabupaten Pasuruan";"2.43";"Triwulan IV 2018"
"Kabupaten Kediri";"0.05";"Triwulan IV 2018"
"Kabupaten Magetan";"";"Triwulan IV 2018"
"Kota Batu";"0.01";"Triwulan IV 2018"
"Kabupaten Nganjuk";"0";"Triwulan IV 2018"
"Kota Kediri";"0.03";"Triwulan IV 2018"
"Kabupaten Bangkalan";"0.01";"Triwulan IV 2018"
"Kota Malang";"0.11";"Triwulan IV 2018"
"Kabupaten Tuban";"0";"Triwulan IV 2018"
"Kabupaten Jember";"0.1";"Triwulan IV 2018"
